supplier_id,supplier_name,contact_name,contact_email,country,phone,rating,lead_time_days,is_active,contract_start
299458,NovaTech Distributors,Carmen Becker,carmen.becker@novatechdist.com,Sweden,+42790256940,3.2,8,True,2022-08-02
220926,AlphaGoods Europe,Maria Lewandowski,maria.lewandowski@alphagoodseu.com,Austria,+42488690725,5.0,17,True,2018-05-27
291506,MediterranEan Supply,Lorenzo Moreau,lorenzo.moreau@mediterranea.com,France,,3.5,15,True,2022-09-15
255392,Nordic Wholesale,Marco Robert,marco.robert@nordicwholes.com,Belgium,+38925276600,2.8,14,True,2018-01-11
244597,BritishTradeHub,Maria Schneider,maria.schneider@britishtrade.com,Belgium,+33771410971,4.1,20,True,2021-03-07
236421,IbericaImports,Antoine Rossi,antoine.rossi@ibericaimpor.com,Austria,,4.8,29,False,2020-08-13
220379,PolandDirect,Hans Greco,hans.greco@polanddirect.com,Spain,,3.7,3,False,2022-07-14
228221,BeneluxLogistics,Giovanni Petit,giovanni.petit@beneluxlogis.com,Sweden,+47277303722,4.7,14,False,2022-08-03
244118,TechSourceEU,Claire Diaz,claire.diaz@techsourceeu.com,UK,+41570406376,3.6,8,True,2020-11-16
213396,FashionForwardEU,Giulia Hoffmann,giulia.hoffmann@fashionforwa.com,Austria,,4.1,8,True,2018-04-08
212156,KitchenPro Suppliers,Ana Gallo,ana.gallo@kitchenprosu.com,Belgium,+37399012686,3.0,5,True,2022-11-10
249797,BookBridgeEurope,Monika Martinez,monika.martinez@bookbridgeeu.com,Sweden,,4.1,12,True,2021-12-21
212676,SportElite Wholesale,Matteo Dubois,matteo.dubois@sportelitewh.com,Italy,+42881913386,4.7,8,True,2022-07-25
247052,BeautyHub International,Piotr Durand,piotr.durand@beautyhubint.com,UK,+35399085574,4.7,3,True,2022-09-06
245082,ToyWorldEU,Stefano Marino,stefano.marino@toyworldeu.com,Belgium,+30200140141,4.6,6,True,2022-02-04
279131,GourmetSelectEU,Emma Wisniewski,emma.wisniewski@gourmetselec.com,Italy,,3.5,30,True,2021-11-14
234671,AutoPartsEurope,Julia Lewandowski,julia.lewandowski@autopartseur.com,Belgium,+45266211829,3.0,2,True,2022-08-12
205695,GreenGarden Supplies,Elena Smith,elena.smith@greengardens.com,Italy,+31727255918,4.8,17,True,2022-04-27
295647,PetCare Wholesale,Alessandro Fischer,alessandro.fischer@petcarewhole.com,Germany,+49172972420,3.1,4,False,2022-11-05
260217,OfficeBasics EU,Anna Ricci,anna.ricci@officebasics.com,Austria,+32550139320,3.9,11,False,2019-09-27
270284,MusicMakers Supply,Carmen Garcia,carmen.garcia@musicmakerss.com,Netherlands,+42240529481,3.2,11,False,2018-08-14
216361,WellnessFirst Distributors,Marco Lindqvist,marco.lindqvist@wellnessfirs.com,Austria,,3.0,9,True,2020-12-20
249615,LuggagePro Europe,Davide Martinez,davide.martinez@luggageproeu.com,Poland,+39269379374,3.9,10,True,2022-07-02
210328,JewelryCraft EU,Marco Torres,marco.torres@jewelrycraft.com,Germany,+34383968123,2.8,18,True,2020-05-25
272357,ArtSupplyHub,Thomas Taylor,thomas.taylor@artsupplyhub.com,Spain,+38642678844,4.8,28,True,2021-08-09
238427,BabyEssentials EU,Sebastian Ricci,sebastian.ricci@babyessentia.com,Italy,+40927982963,4.9,6,True,2022-09-11
282397,CameraWorld Wholesale,Ella Ferrari,ella.ferrari@cameraworldw.com,Germany,+32841976666,3.9,27,True,2022-09-13
281070,GamersHub Europe,Simone Zielinski,simone.zielinski@gamershubeur.com,France,+31430989881,4.8,28,True,2021-01-16
247400,SmartHomeEU,Thomas Martinez,thomas.martinez@smarthomeeu.com,Germany,+41937643439,4.7,20,True,2020-01-06
275674,FurnitureDirectEU,Antoine Schneider,antoine.schneider@furnituredir.com,UK,+30292587044,3.3,30,True,2020-02-11
225203,LightingPro Distributors,Friedrich Muller,friedrich.muller@lightingprod.com,Germany,+42141580226,3.1,27,True,2020-12-22
292349,CleanChoice Supply,Miguel Hoffmann,miguel.hoffmann@cleanchoices.com,Spain,+30808705238,3.3,28,True,2020-05-17
209116,SafetyFirst EU,Lucia Wisniewski,lucia.wisniewski@safetyfirste.com,Belgium,+40129635852,4.9,6,True,2020-04-04
206006,ScientificTools EU,Andrea Thomas,andrea.thomas@scientificto.com,Austria,+43471178705,3.3,20,False,2018-12-26
286673,CollectiblesWorld,Harry Weber,harry.weber@collectibles.com,Netherlands,+31861052404,3.8,26,True,2019-09-05
229871,HandmadeHaven,Emily Zielinski,emily.zielinski@handmadehave.com,Germany,+40769108025,4.6,24,True,2022-04-25
